"primary"	"secondary"	"symbol"
"546"	"FBgn0000251"	"CG1759"	"cad"
"547"	"FBgn0000253"	"CG8472"	"Cam"
"548"	"FBgn0000256"	"CG3399"	"capu"
"549"	"FBgn0000257"	"CG12230"	"car"
"550"	"FBgn0000259"	"CG15224"	"CkIIbeta"
"551"	"FBgn0000261"	"CG6871"	"Cat"
"552"	"FBgn0000273"	"CG4379"	"Pka-C1"
"553"	"FBgn0000274"	"CG12066"	"Pka-C2"
"554"	"FBgn0000276"	"CG1365"	"CecA1"
"555"	"FBgn0000277"	"CG1367"	"CecA2"
"556"	"FBgn0000278"	"CG1878"	"CecB"
"557"	"FBgn0000279"	"CG1373"	"CecC"
"558"	"FBgn0000280"	"CR32926"	"Cec-Psi1"
"559"	"FBgn0000281"	"CR32934"	"Cec2"
"560"	"FBgn0000283"	"CG6384"	"Cp190"
"561"	"FBgn0000286"	"CG11924"	"Cf2"
"562"	"FBgn0000287"	"CG4881"	"salr"
"563"	"FBgn0000289"	"CG8367"	"cg"
"564"	"FBgn0000299"	"CG4145"	"Col4a1"
"565"	"FBgn0000303"	"CG12345"	"ChAT"
"566"	"FBgn0000307"	"CG5813"	"chif"
"567"	"FBgn0000308"	"CG9553"	"chic"
"568"	"FBgn0000316"	"CG2945"	"cin"
"569"	"FBgn0000317"	"CG7595"	"ck"
"570"	"FBgn0000318"	"CG11024"	"cl"
"571"	"FBgn0000319"	"CG9012"	"Chc"
"572"	"FBgn0000320"	"CG9554"	"eya"
"573"	"FBgn0000326"	"CG9858"	"clt"
"574"	"FBgn0000330"	"CG3035"	"cm"
"575"	"FBgn0000337"	"CG1555"	"cn"
"576"	"FBgn0000339"	"CG5855"	"cni"
"577"	"FBgn0000346"	"CG1618"	"comt"
"578"	"FBgn0000351"	"CG11330"	"cort"
"579"	"FBgn0000352"	"CG1708"	"cos"
"580"	"FBgn0000355"	"CG6519"	"Cp15"
"581"	"FBgn0000356"	"CG6533"	"Cp16"
"582"	"FBgn0000357"	"CG6517"	"Cp18"
"583"	"FBgn0000358"	"CG6524"	"Cp19"
"584"	"FBgn0000359"	"CG1478"	"Cp36"
"585"	"FBgn0000360"	"CG11213"	"Cp38"
"586"	"FBgn0000370"	"CG8669"	"crc"
"587"	"FBgn0000376"	"CG2714"	"crm"
"588"	"FBgn0000377"	"CG3193"	"crn"
"589"	"FBgn0000382"	"CG3954"	"csw"
"590"	"FBgn0000384"	"CG17678"	"cta"
"591"	"FBgn0000392"	"CG11181"	"cup"
"592"	"FBgn0000394"	"CG12410"	"cv"
"593"	"FBgn0000395"	"CG15671"	"cv-2"
"594"	"FBgn0000404"	"CG5940"	"CycA"
"595"	"FBgn0000405"	"CG3510"	"CycB"
"596"	"FBgn0000406"	"CG13279"	"Cyt-b5-r"
"597"	"FBgn0000409"	""	""
"598"	"FBgn0000411"	"CG5893"	"D"
"599"	"FBgn0000412"	"CG9745"	"D1"
"600"	"FBgn0000414"	"CG9695"	"Dab"
"601"	"FBgn0000416"	"CG12070"	"Sap-r"
"602"	"FBgn0000422"	"CG10697"	"Ddc"
"603"	"FBgn0000426"	"CG16792"	"SmF"
"604"	"FBgn0000427"	"CG2175"	"dec-1"
"605"	"FBgn0000439"	"CG2189"	"Dfd"
"606"	"FBgn0000442"	"CG3324"	"Pkg21D"
"607"	"FBgn0000447"	"CG9741"	"Dhod"
"608"	"FBgn0000448"	"CG33183"	"Hr3"
"609"	"FBgn0000449"	"CG12028"	"dib"
"610"	"FBgn0000451"	"CG6611"	"ect"
"611"	"FBgn0000454"	"CG9285"	"Dip-B"
"612"	"FBgn0000455"	"CG5663"	"Dip-C"
"613"	"FBgn0000459"	"CG9908"	"disco"
"614"	"FBgn0000463"	"CG3619"	"Dl"
"615"	"FBgn0000464"	"CG10443"	"Lar"
"616"	"FBgn0000473"	"CG9438"	"Cyp6a2"
"617"	"FBgn0000477"	"CG7780"	"DNaseII"
"618"	"FBgn0000479"	"CG32498"	"dnc"
"619"	"FBgn0000482"	"CG3093"	"dor"
"620"	"FBgn0000489"	"CG6117"	"Pka-C3"
"621"	"FBgn0000490"	"CG9885"	"dpp"
"622"	"FBgn0000492"	"CG1897"	"Dr"
"623"	"FBgn0000497"	""	""
"624"	"FBgn0000499"	"CG18361"	"dsh"
"625"	"FBgn0000500"	"CG18090"	"Dsk"
"626"	"FBgn0000504"	"CG11094"	"dsx"
"627"	"FBgn0000520"	"CG2711"	"dwg"
"628"	"FBgn0000524"	"CG3929"	"dx"
"629"	"FBgn0000527"	"CG3331"	"e"
"630"	"FBgn0000529"	"CG10604"	"bsh"
"631"	"FBgn0000533"	"CG4920"	"ea"
"632"	"FBgn0000535"	"CG10952"	"eag"
"633"	"FBgn0000536"	"CG3525"	"eas"
"634"	"FBgn0000541"	"CG32346"	"E(bx)"
"635"	"FBgn0000542"	"CG2904"	"ec"
"636"	"FBgn0000543"	"CG5714"	"ecd"
"637"	"FBgn0000546"	"CG1765"	"EcR"
"638"	"FBgn0000547"	"CG12676"	"ed"
"639"	"FBgn0000551"	"CG7673"	"Edg78E"
"640"	"FBgn0000552"	"CG2345"	"Edg84A"
"641"	"FBgn0000556"	""	""
"642"	"FBgn0000557"	"CG1873"	"eEF1alpha2"
"643"	"FBgn0000559"	"CG2238"	"eEF2"
"644"	"FBgn0000560"	"CG7383"	"eg"
"645"	"FBgn0000562"	"CG4051"	"egl"
"646"	"FBgn0000564"	"CG5400"	"Eh"
"647"	"FBgn0000565"	"CG7266"	"Eip71CD"
"648"	"FBgn0000566"	"CG5345"	"Eip55E"
